row_index,Ecm,Nproj,det_grid_real,det_grid_imag,local_det_real,local_det_imag,sign_grid,sign_local,in_original_bracket,in_hot_window,dimension_jump_flag
1156,0.26870110005500275,5,1.558147183495426e-19,-0,1.5447274730245486e-19,-0,1,1,false,false,false
1157,0.26870594529726488,5,1.5463788386370905e-19,-0,1.5330424002830091e-19,-0,1,1,false,false,false
1158,0.26871079053952696,5,1.5346038084142394e-19,-0,1.5213507117376762e-19,-0,1,1,false,false,false
1159,0.26871563578178909,5,1.5228221131295386e-19,-0,1.5096524274957797e-19,-0,1,1,false,false,false
1160,0.26872048102405122,5,1.51103377301006e-19,-0,1.497947567589379e-19,-0,1,1,false,false,false
1161,0.26872532626631329,5,1.499238808206962e-19,-0,1.4862361519750384e-19,-0,1,1,false,false,false
1162,0.26873017150857542,5,1.4874372387953986e-19,-0,1.4745182005337546e-19,-0,1,1,false,false,false
1163,0.26873501675083755,5,1.4756290847753716e-19,-0,1.462793733071786e-19,-0,1,1,false,false,false
1164,0.26873986199309963,5,1.4638143660716034e-19,-0,1.4510627693205365e-19,-0,1,1,false,false,false
1165,0.26874470723536176,5,1.4519931025333688e-19,-0,1.43932532893639e-19,-0,1,1,false,false,false
1166,0.26874955247762389,5,1.4401653139354096e-19,-0,1.4275814315016133e-19,-0,1,1,false,false,false
1167,0.26875439771988602,5,1.4283310199775596e-19,-0,1.4158310965239833e-19,-0,1,1,false,false,false
1168,0.26875924296214809,5,1.4164902402853664e-19,-0,1.4040743434374178e-19,-0,1,1,false,false,false
1169,0.26876408820441022,5,1.4046429944095231e-19,-0,1.3923111916013997e-19,-0,1,1,false,false,false
1170,0.26876893344667235,5,1.3927893018270921e-19,-0,1.3805416603021924e-19,-0,1,1,false,false,false
1171,0.26877377868893443,5,1.3809291819410852e-19,-0,1.3687657687524316e-19,-0,1,1,false,false,false
1172,0.26877862393119656,5,1.3690626540803566e-19,-0,1.3569835360910101e-19,-0,1,1,false,false,false
1173,0.26878346917345869,5,1.3571897375006036e-19,-0,1.3451949813840813e-19,-0,1,1,false,false,false
1174,0.26878831441572076,5,1.3453104513841133e-19,-0,1.3334001236248085e-19,-0,1,1,false,false,false
1175,0.26879315965798289,5,1.3334248148395924e-19,-0,1.3215989817331776e-19,-0,1,1,false,false,false
1176,0.26879800490024502,5,1.3215328469030199e-19,-0,1.3097915745568774e-19,-0,1,1,false,false,false
1177,0.2688028501425071,5,1.3096345665376838e-19,-0,1.2979779208713021e-19,-0,1,1,false,false,false
1178,0.26880769538476923,5,1.2977299926336989e-19,-0,1.2861580393790968e-19,-0,1,1,false,false,false
1179,0.26881254062703136,5,1.285819144009185e-19,-0,1.2743319487113196e-19,-0,1,1,false,false,false
1180,0.26881738586929349,5,1.2739020394098186e-19,-0,1.2624996674269977e-19,-0,1,1,false,false,false
1181,0.26882223111155557,5,1.2619786975093504e-19,-0,1.2506612140136389e-19,-0,1,1,false,false,false
1182,0.2688270763538177,5,1.2500491369090995e-19,-0,1.2388166068867367e-19,-0,1,1,false,false,false
1183,0.26883192159607983,5,1.2381133761392344e-19,-0,1.2269658643910357e-19,-0,1,1,false,false,false
1184,0.2688367668383419,5,1.2261714336582479e-19,-0,1.2151090048000153e-19,-0,1,1,false,false,false
1185,0.26884161208060403,5,1.214223327852968e-19,-0,1.2032460463158994e-19,-0,1,1,false,false,false
1186,0.26884645732286616,5,1.2022690770392821e-19,-0,1.1913770070703756e-19,-0,1,1,false,false,false
1187,0.26885130256512824,5,1.1903086994622918e-19,-0,1.1795019051247539e-19,-0,1,1,false,false,false
