row_index,Ecm,Nproj,det_grid_real,det_grid_imag,local_det_real,local_det_imag,gpu_det_real,gpu_det_imag,abs_cpu_assembled_diff,abs_gpu_assembled_diff,sign_grid,sign_local,sign_gpu
2113,2.73337996899845004e-01,14,-2.81393319678967626e-28,0.00000000000000000e+00,-2.81393319678967626e-28,0.00000000000000000e+00,-2.81393319678965294e-28,0.00000000000000000e+00,0.00000000000000000e+00,2.33176064463649561e-42,-1,-1,-1
2114,2.73342842142107079e-01,14,-4.81018224031513666e-28,0.00000000000000000e+00,-4.81018224031513666e-28,0.00000000000000000e+00,-4.81018224031520572e-28,0.00000000000000000e+00,0.00000000000000000e+00,6.90559883219269853e-42,-1,-1,-1
2115,2.73347687384369209e-01,14,-1.63242141859074388e-27,0.00000000000000000e+00,-1.63242141859074388e-27,0.00000000000000000e+00,-1.63242141859066029e-27,0.00000000000000000e+00,0.00000000000000000e+00,8.35846508000466886e-41,-1,-1,-1
2116,2.73352532626631339e-01,14,1.18350503691381447e-27,0.00000000000000000e+00,1.18350503691381447e-27,0.00000000000000000e+00,1.18350503691367726e-27,0.00000000000000000e+00,0.00000000000000000e+00,1.37215145626686088e-40,1,1,1
2117,2.73357377868893470e-01,14,4.36040805996148159e-28,0.00000000000000000e+00,4.36040805996148159e-28,0.00000000000000000e+00,4.36040805996139818e-28,0.00000000000000000e+00,0.00000000000000000e+00,8.34052845966131121e-42,1,1,1
2118,2.73362223111155545e-01,14,2.67928332062643884e-28,0.00000000000000000e+00,2.67928332062643884e-28,0.00000000000000000e+00,2.67928332062649534e-28,0.00000000000000000e+00,0.00000000000000000e+00,5.65003540815766243e-42,1,1,1
2119,2.73367068353417675e-01,14,1.93739764507203675e-28,0.00000000000000000e+00,1.93739764507203675e-28,0.00000000000000000e+00,1.93739764507208742e-28,0.00000000000000000e+00,0.00000000000000000e+00,5.06709524699853853e-42,1,1,1
2120,2.73371913595679805e-01,14,1.51959316917506708e-28,0.00000000000000000e+00,1.51959316917506708e-28,0.00000000000000000e+00,1.51959316917507111e-28,0.00000000000000000e+00,0.00000000000000000e+00,4.03573957725547316e-43,1,1,1
2121,2.73376758837941880e-01,14,1.25164928115132469e-28,0.00000000000000000e+00,1.25164928115132469e-28,0.00000000000000000e+00,1.25164928115133119e-28,0.00000000000000000e+00,0.00000000000000000e+00,6.50202487446715121e-43,1,1,1
2122,2.73381604080204010e-01,14,1.06524724553280487e-28,0.00000000000000000e+00,1.06524724553280487e-28,0.00000000000000000e+00,1.06524724553279635e-28,0.00000000000000000e+00,0.00000000000000000e+00,8.51989466309488779e-43,1,1,1
2123,2.73386449322466141e-01,14,9.28118307546792453e-29,0.00000000000000000e+00,9.28118307546792453e-29,0.00000000000000000e+00,9.28118307546787408e-29,0.00000000000000000e+00,0.00000000000000000e+00,5.04467447156934146e-43,1,1,1
2124,2.73391294564728216e-01,14,8.23036669221638209e-29,0.00000000000000000e+00,8.23036669221638209e-29,0.00000000000000000e+00,8.23036669221646505e-29,0.00000000000000000e+00,0.00000000000000000e+00,8.29568690880291706e-43,1,1,1
2125,2.73396139806990346e-01,14,7.39968636388788716e-29,0.00000000000000000e+00,7.39968636388788716e-29,0.00000000000000000e+00,7.39968636388789837e-29,0.00000000000000000e+00,0.00000000000000000e+00,1.12103877145985366e-43,1,1,1
2126,2.73400985049252476e-01,14,6.72673852591522991e-29,0.00000000000000000e+00,6.72673852591522991e-29,0.00000000000000000e+00,6.72673852591526578e-29,0.00000000000000000e+00,0.00000000000000000e+00,3.58732406867153170e-43,1,1,1
2575,2.75576498824941230e-01,14,1.78705611746354651e-32,0.00000000000000000e+00,1.78705611746354651e-32,0.00000000000000000e+00,1.78705611746355253e-32,0.00000000000000000e+00,0.00000000000000000e+00,6.02120433889569835e-47,1,1,1
2576,2.75581344067203360e-01,14,1.76124269445537135e-32,0.00000000000000000e+00,1.76124269445537135e-32,0.00000000000000000e+00,1.76124269445539379e-32,0.00000000000000000e+00,0.00000000000000000e+00,2.24426707177021484e-46,1,1,1
2577,2.75586189309465490e-01,14,1.73586130508482190e-32,0.00000000000000000e+00,1.73586130508482190e-32,0.00000000000000000e+00,1.73586130508481396e-32,0.00000000000000000e+00,0.00000000000000000e+00,7.93704208308978419e-47,1,1,1
2578,2.75591034551727565e-01,14,1.71090370279463667e-32,0.00000000000000000e+00,1.71090370279463667e-32,0.00000000000000000e+00,1.71090370279461642e-32,0.00000000000000000e+00,0.00000000000000000e+00,2.02531418671946217e-46,1,1,1
